date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:22:56	5273/5273	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2015%20Sep%202024%2015:22:55%20GMT	https://light-2.live/robots.txt		(from )
18:22:56	27407/27407	---MCZ	200	added ('OK')	text/html	date:Sun,%2015%20Sep%202024%2013:32:21%20GMT	https://light-2.live/	C:/Users/PC/Desktop/oyun%20site%20gg/light-2.live/index.html	(from )
18:22:57	1956/1956	---M--	200	added ('OK')	image/png	date:Sun,%2015%20Sep%202024%2015:22:56%20GMT	https://img.itch.zone/aW1nLzY0NTU4NTIucG5n/32x32%23/%2FCtgTu.png	C:/Users/PC/Desktop/oyun%20site%20gg/img.itch.zone/aW1nLzY0NTU4NTIucG5n/32x32#/CtgTu.png	(from https://light-2.live/)
18:22:59	150/150	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2015%20Sep%202024%2015:22:57%20GMT	https://static.itch.io/lib.js?1662925820	C:/Users/PC/Desktop/oyun%20site%20gg/static.itch.io/lib.3e47b.delayed	(from https://light-2.live/)
18:22:59	155317/155317	---MCZ	200	added ('OK')	text/css	etag:W/%22667dd82a-25eb5%22	https://static.itch.io/game.css?1662925820	C:/Users/PC/Desktop/oyun%20site%20gg/static.itch.io/gamee47b.css	(from https://light-2.live/)
18:23:01	52916/52916	---MC-	200	added ('OK')	text/javascript	date:Tue,%2012%20Dec%202023%2018:09:08%20GMT	http://www.google-analytics.com/analytics.js	C:/Users/PC/Desktop/oyun%20site%20gg/www.google-analytics.com/analytics.js	(from https://light-2.live/)
18:23:01	23081/23081	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%2260414303-5a29%22	https://static.itch.io/lib/jquery.maskMoney.js	C:/Users/PC/Desktop/oyun%20site%20gg/static.itch.io/lib/jquery.maskMoney.js	(from https://light-2.live/)
18:23:01	115239/115239	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%2266e5d848-1c227%22	https://static.itch.io/bundle.min.js?1662925820	C:/Users/PC/Desktop/oyun%20site%20gg/static.itch.io/bundle.mine47b.js	(from https://light-2.live/)
18:23:01	212244/212244	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%2266e490ae-33d14%22	https://static.itch.io/game.min.js?1662925820	C:/Users/PC/Desktop/oyun%20site%20gg/static.itch.io/game.mine47b.js	(from https://light-2.live/)
18:23:02	13433/13433	---M--	200	added ('OK')	image/png	date:Sun,%2015%20Sep%202024%2015:23:01%20GMT	https://img.itch.zone/aW1nLzYxNzc0NDAucG5n/original/17va8I.png	C:/Users/PC/Desktop/oyun%20site%20gg/img.itch.zone/aW1nLzYxNzc0NDAucG5n/original/17va8I.png	(from https://light-2.live/)
